,Unnamed: 0,speciesGroup,taxonomicRankKingdom,taxonomicRankPhylum,taxonomicRankClass,taxonomicRankOrder,taxonomicRankFamily,taxonomicRankGenus,taxonomicRankSpecies,endemicToEurope,populationTrend,useAndTrade,europeanRegionalRedListCategory
757,3101,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,PHANEROPTERIDAE,Isophya,longicaudata,Yes,Decreasing,not utilized,NT
1962,6253,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,VALLONIIDAE,Spermodea,lamellata,Yes,Decreasing,not utilized,NT
1617,5367,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ARGNIDAE,Agardhiella,pirotana,Yes,Stable,not utilized,NT
113,628,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,sichelii,No,Stable,not utilized,LC
465,2120,Freshwater_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,ASSIMINEIDAE,Assiminea,grayana,Yes,Stable,not utilized,LC
1445,4955,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CETONIIDAE,Valgus,hemipterus,No,Stable,utilized,LC
1427,4924,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Xyloclytus,altaicus,No,Decreasing,utilized,DD
1432,4930,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Xylotrechus,ibex,No,Decreasing,utilized,NT
1850,5961,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Microxeromagna,lowei,No,Stable,not utilized,LC
1491,5094,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,EROTYLIDAE,Triplax,rufipes,No,Increasing,utilized,LC
1469,5032,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,ELATERIDAE,Calais,parreysii,No,Decreasing,utilized,NT
956,3628,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,TETTIGONIIDAE,Uromenus,riggioi,Yes,Decreasing,not utilized,CR (PE)
811,3289,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,TETRIGIDAE,Tetrix,tuerki,No,Decreasing,not utilized,VU
1889,6066,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Xerocrassa,caroli,Yes,Stable,not utilized,LC
325,1305,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,HALICTIDAE,Lasioglossum,interruptum,No,Stable,not utilized,LC
603,2742,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Ochrilidia,pruinosa,No,Decreasing,not utilized,EN
1136,4258,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,TRACHINIDAE,Trachinus,draco,No,Stable,utilized,LC
97,610,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,niveatus,No,Stable,not utilized,LC
123,638,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,zonatus,No,Decreasing,not utilized,EN
796,3203,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,PHANEROPTERIDAE,Poecilimon,soulion,Yes,Decreasing,not utilized,EN
449,2067,Freshwater_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,HYGROPHILA,LYMNAEIDAE,Omphiscola,glabra,Yes,Decreasing,not utilized,NT
1306,4727,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Cornumutila,lineata,No,Decreasing,not utilized,EN
1466,5015,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,ELATERIDAE,Ampedus,sanguinolentus,No,Stable,utilized,LC
1528,5166,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,OEDEMERIDAE,Anogcodes,rufiventris,No,Stable,not utilized,LC
725,3032,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,PAMPHAGIDAE,Asiotmethis,tauricus,Yes,Decreasing,not utilized,EN
1104,4185,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Symphodus,tinca,No,Stable,utilized,LC
678,2875,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Stenobothrus,croaticus,Yes,Decreasing,not utilized,CR
1258,4641,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,BOSTRICHIDAE,Psoa,dubia,No,Stable,utilized,LC
1489,5088,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,EROTYLIDAE,Triplax,lacordairii,No,Decreasing,utilized,EN
1253,4626,Marine_Fishes,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUATINIFORMES,SQUATINIDAE,Squatina,aculeata,No,Decreasing,not utilized,CR
1906,6106,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Xerolenta,macedonica,Yes,Stable,not utilized,LC
1423,4916,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Tragosoma,depsarium,No,Decreasing,utilized,NT
270,1054,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,COLLETIDAE,Colletes,nasutus,No,Decreasing,not utilized,EN
933,3569,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,TETTIGONIIDAE,Rhacocleis,maculipedes,Yes,Decreasing,not utilized,EN
1542,5184,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,OEDEMERIDAE,Ischnomera,sanguinicollis,No,Stable,not utilized,LC
1548,5193,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,OEDEMERIDAE,Oedemera,flavipes,No,Stable,not utilized,LC
1895,6086,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Xerocrassa,meda,Yes,Increasing,not utilized,LC
1839,5917,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Helicopsis,instabilis,Yes,Stable,not utilized,LC
1109,4192,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,MULLIDAE,Mullus,barbatus,No,Stable,utilized,LC
1141,4303,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,PLEURONECTIFORMES,PLEURONECTIDAE,Glyptocephalus,cynoglossus,No,Stable,utilized,LC
1597,5326,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,ARCHITAENIOGLOSSA,ACICULIDAE,Acicula,vezzanii,Yes,Stable,not utilized,NT
192,891,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Nomada,leucophthalma,No,Stable,not utilized,LC
550,2639,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Chorthippus,loratus,No,Decreasing,not utilized,LC
954,3621,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,TETTIGONIIDAE,Uromenus,agarenus,No,Stable,not utilized,LC
1029,4017,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,BLENNIIDAE,Parablennius,incognitus,No,Stable,not utilized,LC
347,1362,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,HALICTIDAE,Lasioglossum,rufitarse,No,Stable,not utilized,LC
68,575,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,barbutellus,No,Decreasing,not utilized,LC
1326,4756,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Grammoptera,viridipennis,Yes,Stable,not utilized,VU
821,3306,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,TETTIGONIIDAE,Anonconotus,sibyllinus,Yes,Decreasing,not utilized,EN
210,920,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Nomada,panurgina,No,Stable,not utilized,LC
1006,3896,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,MYCTOPHIFORMES,MYCTOPHIDAE,Protomyctophum,arcticum,No,Stable,not utilized,LC
1030,4018,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,BLENNIIDAE,Parablennius,parvicornis,No,Stable,utilized,LC
1324,4754,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Grammoptera,ruficornis,No,Stable,not utilized,LC
783,3169,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,PHANEROPTERIDAE,Poecilimon,gracilioides,Yes,Decreasing,not utilized,EN
1026,4012,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,BLENNIIDAE,Microlipophrys,canevae,Yes,Stable,not utilized,LC
176,855,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Nomada,flavoguttata,No,Stable,not utilized,LC
1909,6118,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Xerosecta,adolfi,Yes,Decreasing,not utilized,EN
1223,4578,Marine_Fishes,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Raja,brachyura,No,Decreasing,utilized,NT
1724,5659,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HELICIDAE,Chilostoma,squamatinum,Yes,Stable,not utilized,LC
727,3043,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,PAMPHAGIDAE,Kurtharzia,sulcata,Yes,Decreasing,not utilized,EN
1612,5362,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ARGNIDAE,Agardhiella,domokosi,Yes,Stable,not utilized,LC
272,1059,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,COLLETIDAE,Colletes,pulchellus,Yes,Decreasing,not utilized,VU
1537,5176,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,OEDEMERIDAE,Chrysanthia,viridissima,No,Stable,not utilized,LC
491,2385,Freshwater_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,HYDROBIIDAE,Islamia,epirana,Yes,Decreasing,not utilized,VU
482,2248,Freshwater_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,HYDROBIIDAE,Bythinella,dunkeri,Yes,Stable,not utilized,DD
738,3066,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,PAMPHAGIDAE,Purpuraria,erna,Yes,Decreasing,not utilized,EN
1330,4765,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Judolia,sexmaculata,No,Stable,not utilized,LC
887,3456,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,TETTIGONIIDAE,Metrioptera,prenjica,Yes,Decreasing,not utilized,EN
1157,4385,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,SCORPAENIFORMES,SEBASTIDAE,Sebastes,norvegicus,No,Decreasing,utilized,VU
1480,5059,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,ELATERIDAE,Lacon,querceus,No,Decreasing,utilized,NT
960,3644,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,TRIDACTYLIDAE,Xya,variegata,No,Decreasing,not utilized,LC
672,2864,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Sphingonotus,savignyi,No,Decreasing,not utilized,VU
1775,5754,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HELICIDAE,Marmorana,muralis,Yes,Stable,not utilized,LC
1558,5218,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,TENEBRIONIDAE,Corticeus,fasciatus,No,Stable,not utilized,NT
619,2771,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Omocestus,lopadusae,Yes,Stable,not utilized,LC
1881,6053,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Trochulus,phorochaetia,Yes,Stable,not utilized,LC
572,2697,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Euchorthippus,pulvinatus,No,Decreasing,not utilized,LC
1981,6287,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,VERTIGINIDAE,Vertigo,lilljeborgi,Yes,Decreasing,not utilized,NT
1829,5892,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Disculella,madeirensis,Yes,Stable,utilized,LC
990,3873,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,MYCTOPHIFORMES,MYCTOPHIDAE,Ceratoscopelus,maderensis,No,Stable,not utilized,LC
486,2316,Freshwater_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,HYDROBIIDAE,Daphniola,louisi,Yes,Decreasing,not utilized,CR
1340,4779,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Monochamus,galloprovincialis,No,Increasing,utilized,LC
1681,5510,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENIDAE,Mastus,transsylvanicus,Yes,Stable,not utilized,LC
579,2710,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Hyalorrhipis,clausi,No,Stable,not utilized,LC
1844,5929,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Hystricella,echinulata,Yes,Stable,utilized,LC
290,1192,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,HALICTIDAE,Halictus,frontalis,Yes,Stable,not utilized,LC
987,3870,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,MUGILIFORMES,MUGILIDAE,Oedalechilus,labeo,No,Stable,utilized,LC
271,1057,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,COLLETIDAE,Colletes,pannonicus,Yes,Stable,not utilized,LC
253,1025,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,COLLETIDAE,Colletes,caspicus,No,Decreasing,not utilized,EN
782,3163,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,PHANEROPTERIDAE,Poecilimon,ebneri,Yes,Decreasing,not utilized,EN
1454,4969,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,ELATERIDAE,Ampedus,auripes,Yes,Stable,utilized,LC
1368,4813,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Pedostrangalia,raggii,Yes,Stable,not utilized,LC
1734,5672,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HELICIDAE,Cornu,aspersum,No,Stable,utilized,LC
1702,5582,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENIDAE,Napaeus,variatus,Yes,Stable,not utilized,LC
1482,5063,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,ELATERIDAE,Melanotus,villosus,No,Stable,utilized,LC
1860,5996,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Monachoides,incarnatus,Yes,Stable,not utilized,LC
862,3387,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,TETTIGONIIDAE,Ephippiger,perforatus,Yes,Decreasing,not utilized,LC
326,1308,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,HALICTIDAE,Lasioglossum,laetum,Yes,Stable,not utilized,LC
1343,4784,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Monochamus,sutor,No,Stable,utilized,LC
388,1876,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,MEGACHILIDAE,Stelis,annulata,No,Decreasing,not utilized,DD
1883,6055,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Trochulus,striolatus,Yes,Stable,not utilized,LC
769,3123,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,PHANEROPTERIDAE,Isophya,zubowskii,Yes,Decreasing,not utilized,EN
1158,4388,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,SCORPAENIFORMES,TRIGLIDAE,Chelidonichthys,cuculus,No,Stable,utilized,LC
279,1157,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,HALICTIDAE,Ceylalictus,variegatus,No,Stable,not utilized,LC
986,3864,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,LOPHIIFORMES,ONEIRODIDAE,Lophodolos,acanthognathus,No,Stable,not utilized,LC
38,412,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,wollastoni,Yes,Stable,not utilized,LC
252,1019,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,COLLETIDAE,Colletes,anchusae,No,Decreasing,not utilized,EN
848,3364,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,TETTIGONIIDAE,Ctenodecticus,major,Yes,Decreasing,not utilized,CR
356,1383,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,HALICTIDAE,Lasioglossum,transitorium,No,Stable,not utilized,LC
140,658,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ceratina,parvula,No,Stable,not utilized,LC
974,3775,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,GADIFORMES,LOTIDAE,Gaidropsarus,vulgaris,Yes,Stable,utilized,LC
1009,3915,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,OPHIDIIFORMES,BYTHITIDAE,Cataetyx,alleni,No,Stable,not utilized,LC
818,3298,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,TETTIGONIIDAE,Anonconotus,apenninigenus,Yes,Decreasing,not utilized,CR (PE)
761,3106,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,PHANEROPTERIDAE,Isophya,nagyi,Yes,Decreasing,not utilized,EN
1300,4713,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Chlorophorus,figuratus,No,Stable,utilized,LC
1859,5995,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Monacha,venusta,Yes,Stable,not utilized,NT
1406,4892,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Stenurella,melanura,No,Stable,not utilized,LC
700,2933,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,GRYLLIDAE,Modicogryllus,guanchicus,No,Decreasing,not utilized,EN
463,2102,Freshwater_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,HYGROPHILA,PLANORBIDAE,Gyraulus,laevis,No,Decreasing,not utilized,LC
1966,6258,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,VALLONIIDAE,Vallonia,pulchella,No,Stable,not utilized,LC
1675,5472,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENIDAE,Ena,concolor,Yes,Stable,not utilized,LC
1518,5152,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,MYCETOPHAGIDAE,Mycetophagus,fulvicollis,No,Stable,utilized,LC
1415,4904,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Stictoleptura,rufa,No,Decreasing,not utilized,VU
639,2801,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Pezotettix,cypria,Yes,Stable,not utilized,LC
1653,5421,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CHONDRINIDAE,Rupestrella,rhodia,No,Stable,not utilized,LC
198,903,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Nomada,merceti,Yes,Stable,not utilized,LC
1869,6022,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Pyrenaearia,carascalopsis,Yes,Stable,not utilized,NT
237,965,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Nomada,tridentirostris,No,Stable,not utilized,LC
294,1203,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,HALICTIDAE,Halictus,kessleri,No,Stable,not utilized,LC
1837,5911,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Helicella,striatitala,Yes,Stable,not utilized,LC
1886,6062,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Urticicola,umbrosus,Yes,Stable,not utilized,LC
108,621,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,reinigiellus,Yes,Decreasing,not utilized,EN
949,3608,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,TETTIGONIIDAE,Tessellana,nigrosignata,Yes,Decreasing,not utilized,EN
1137,4267,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,TRIPTERYGIIDAE,Tripterygion,melanurum,Yes,Stable,not utilized,LC
564,2670,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Dociostaurus,crassiusculus,No,Decreasing,not utilized,EN
358,1391,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,HALICTIDAE,Lasioglossum,viride,Yes,Stable,not utilized,LC
1600,5341,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,ARCHITAENIOGLOSSA,ACICULIDAE,Platyla,polita,Yes,Stable,not utilized,LC
1443,4951,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CETONIIDAE,Trichius,fasciatus,No,Stable,utilized,LC
751,3089,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,PHANEROPTERIDAE,Isophya,ciucasi,Yes,Decreasing,not utilized,EN
1399,4877,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Spondylis,buprestoides,No,Increasing,not utilized,LC
1848,5947,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HYGROMIIDAE,Lozekia,deubeli,Yes,Stable,not utilized,LC
1768,5734,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HELICIDAE,Hemicycla,saponacea,Yes,Decreasing,not utilized,NT
593,2730,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Miramella,carinthiaca,Yes,Stable,not utilized,LC
471,2157,Freshwater_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,COCHLIOPIDAE,Heleobia,foxianensis,Yes,Decreasing,not utilized,EN
1530,5168,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,OEDEMERIDAE,Anogcodes,ustulatus,No,Stable,not utilized,LC
472,2164,Freshwater_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,COCHLIOPIDAE,Heleobia,tritonum,Yes,Decreasing,not utilized,CR
25,292,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,polita,No,Stable,not utilized,LC
1448,4958,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CUCUJIDAE,Pediacus,depressus,No,Stable,utilized,LC
1371,4817,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Penichroa,fasciata,No,Stable,utilized,LC
571,2696,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Euchorthippus,madeirae,Yes,Increasing,not utilized,LC
1733,5671,Terrestrial_Molluscs,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HELICIDAE,Codringtonia,parnassia,Yes,Decreasing,not utilized,VU
30,349,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,simillima,No,Decreasing,not utilized,LC
1028,4016,Marine_Fishes,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,BLENNIIDAE,Parablennius,gattorugine,No,Stable,not utilized,LC
794,3201,Grasshoppers_Locusts_Crickets,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,PHANEROPTERIDAE,Poecilimon,schmidtii,No,Stable,not utilized,LC
1295,4703,Saproxylic_Beetles,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Cerambyx,cerdo,No,Decreasing,utilized,NT
